cnpjSemTraco,prazoMedioRecebimentoVendas,titulosEmAberto,ativoCirculante,passivoCirculante,totalAtivo,totalPatrimonioLiquido,endividamento,duplicatasAReceber,estoque,faturamentoBruto,margemBruta,custos,capitalSocial,restricoes,empresa_MeEppMei,limiteEmpresaAnaliseCredito,kmeans
LUHP53996818321790,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8009003.0,0.0,0.0,100000.0,True,False,0.0,2
AFBC26520308021503,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8009003.0,0.0,0.0,50000.0,True,False,0.0,2
FVNC08160000412862,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8009003.0,8009003.0,0.0,1000000.0,True,False,0.0,2
EJHZ12668634515482,0,0.0,16927923.0,15279399.0,17136163.0,298840.0,33830.0,10488057.0,323898.0,9768826.0,1599179.0,8169647.0,400000.0,False,True,0.0,0
AQKM62187928734950,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1802595.0,0.0,0.0,4000.0,False,True,4860.0,0
ZXFV25840353174274,34,497700.0,19771841.0,4972363.0,19906740.0,14656696.0,746306.0,11363515.0,7758598.0,12953657.0,6063498.0,6890159.0,500000.0,False,False,1401660.0,1
XSMD78195314114313,0,3033.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1231363.0,0.0,0.0,100000.0,False,False,43200.0,1
NNYN41296357430477,0,0.0,3599369.0,294508.0,3695492.0,3400984.0,0.0,818811.0,1683420.0,4628188.0,2195416.0,2432772.0,200000.0,False,True,14580.0,0
LBSQ15375107942291,0,0.0,53221770.0,38988512.0,54684135.0,15557417.0,9681201.0,20285650.0,15623213.0,110495493.0,40709683.0,69785810.0,3000000.0,False,False,9319060.0,1
IQNN17937561360342,0,0.0,3109371.0,1269604.0,3323683.0,2054079.0,0.0,132775.0,2815990.0,13983957.0,7289809.0,6694148.0,30000.0,False,False,1351652.0,1
SQDH15572831503882,0,0.0,1292543.0,543185.0,1302877.0,759691.0,282426.0,709227.0,332725.0,0.0,0.0,0.0,125000.0,False,False,11880.0,1
ZWOS42831289410220,73,100079.0,7613619.0,7211017.0,8190306.0,2308436.0,2308436.0,1196922.0,4852975.0,22100381.0,3353922.0,18746459.0,20000.0,False,False,405000.0,1
AADG56617962174727,0,58080.0,1686677.0,522413.0,1715761.0,1193348.0,0.0,956680.0,260519.0,4326265.0,1795227.0,2531038.0,250000.0,False,False,116100.0,1
WDYJ85179429945452,0,54675.0,15067493.0,7307629.0,15090079.0,5731420.0,487500.0,4761753.0,3315109.0,20715878.0,6447761.0,14268117.0,1500000.0,False,True,896000.0,0
GTRW90142000067749,34,182860.0,5414669.0,966854.0,5772110.0,4587218.0,130800.0,1145332.0,763469.0,10637253.0,2915516.0,7721737.0,60000.0,False,False,136000.0,1
YHHO51546247657025,0,0.0,24140230.0,12513034.0,24140230.0,19097924.0,983222.0,8857211.0,6014779.0,14235895.0,5697693.0,8538202.0,5490041.0,False,False,5236696.0,1
DZIK25707320790690,0,0.0,354137.0,379117.0,361987.0,-17130.0,0.0,342160.0,0.0,0.0,0.0,0.0,60000.0,False,True,59400.0,0
NXKJ36775578171965,0,22733.33,9195283.0,4237752.0,9820880.0,5502034.0,0.0,2498548.0,5446151.0,20612923.0,8881378.0,11731545.0,80000.0,False,True,768251.0,0
RPNT86107706963754,34,60280.01,7889017.0,1975786.0,9346726.0,6836758.0,300500.0,5339264.0,1657143.0,5782273.0,2984328.0,2797945.0,124500.0,False,False,243000.0,1
FQSV38617597608237,39,452385.76,25096726.0,16369893.0,26038522.0,3464654.0,12500000.0,8979764.0,10133972.0,21628319.0,0.0,0.0,1010000.0,False,False,712000.0,1
QZZE12591496363271,0,24418.2,4098421.0,0.0,4716194.0,2790045.0,0.0,3322031.0,52265.0,2845983.0,0.0,0.0,500000.0,False,True,70310.0,0
RNAL58649356365395,0,0.0,4036204.0,1316115.0,7636371.0,2390047.0,3515000.0,2278762.0,0.0,10489092.0,1702582.0,8786510.0,56500.0,False,False,534000.0,1
LVPC56014978676751,37,299767.2,2645764.0,3000701.0,4009411.0,962568.0,46140.0,1480176.0,1861121.0,32947476.0,11676333.0,21271143.0,1500000.0,False,False,498283.0,1
KQCB71551658170467,0,0.0,2338917.0,1628528.0,2380639.0,318810.0,0.0,1894431.0,1264944.0,7454968.0,1228704.0,6226264.0,200000.0,True,False,121500.0,2
LRQK94226911885068,34,173066.67,12766445.0,7380945.0,18315834.0,9738466.0,0.0,1919694.0,6183398.0,40688088.0,22929150.0,17758938.0,6000000.0,False,False,1103558.0,1
PNXB80689225300466,0,0.0,26423169.0,15850683.0,36629577.0,2744989.0,14440000.0,10085419.0,10308892.0,81431308.0,46593900.0,34837408.0,1070000.0,False,False,3071000.0,1
AQDD58293283113645,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1121995.0,0.0,0.0,30000.0,False,False,7920.0,1
WNBI44103763295229,52,206985.86,14491910.0,2369296.0,14590966.0,12221669.0,0.0,7318996.0,4927531.0,13243246.0,5041978.0,8201268.0,600000.0,False,False,970000.0,1
IAHO67306386072317,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36973949.0,0.0,0.0,60000.0,False,False,1609185.0,1
PWMC43704814269350,0,0.0,7629950.0,1606370.0,7729785.0,5969545.0,0.0,3865276.0,627211.0,25573737.0,0.0,0.0,150000.0,False,False,15200.0,1
LPOO08209031032856,0,0.0,10502827.0,792872.0,12339118.0,10546246.0,0.0,4842462.0,4737289.0,10029382.0,4394547.0,5634835.0,1000000.0,False,False,174800.0,1
QPLB70971338296040,52,90645.4,38094551.0,18297104.0,43882647.0,22008453.0,3967276.0,16793011.0,18266529.0,101251021.0,53329209.0,47921812.0,500000.0,False,False,284800.0,1
OKRW24435138073897,51,788908.66,136635000.0,117181000.0,229560000.0,76345000.0,65500000.0,49964000.0,22124000.0,187527000.0,52419000.0,135108000.0,69000000.0,False,False,0.0,1
GWJZ33040242982196,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,645101.0,645101.0,0.0,50000.0,False,False,28800.0,1
AVAO63044598911311,42,118195.87,40147679.0,40222591.0,56028277.0,15136282.0,15750000.0,14799137.0,23664583.0,120776175.0,33545891.0,87230284.0,3000000.0,False,False,6713768.0,1
LAQL94301956057994,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,627094.0,0.0,0.0,100000.0,False,False,54000.0,1
QDXX81451812411437,38,14068.36,4116737.0,2022133.0,4283583.0,2261261.0,0.0,1993063.0,1019856.0,0.0,0.0,0.0,67800.0,False,False,19980.0,1
QEYH37895214064068,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14887889.0,0.0,0.0,743600.0,False,False,475050.0,1
IDUJ25741666575040,0,0.0,756828.0,487964.0,3460705.0,2952053.0,0.0,357279.0,2345193.0,731601.0,731601.0,0.0,60000.0,False,True,29761.0,0
QDDW60510563211221,0,0.0,8976315.0,7621956.0,13878028.0,4971255.0,2017500.0,2822506.0,5081987.0,80720806.0,22182439.0,58538367.0,50000.0,False,False,180000.0,1
WOGS11156459746606,0,2432.0,4026619.0,352796.0,4782537.0,4215608.0,275450.0,2713310.0,807079.0,3105934.0,0.0,0.0,480000.0,True,False,95877.0,2
BRJP37453437154592,31,559679.98,133604321.0,366700719.0,209372451.0,-186719734.0,29391465.0,-22780710.0,110984530.0,253471598.0,117933839.0,135537759.0,1500000.0,False,False,12744000.0,1
UGAA26704622468147,4,3852.0,194716451.0,32325353.0,276423441.0,240429038.0,0.0,43416933.0,53765193.0,220136057.0,90205216.0,129930841.0,233380247.0,False,False,0.0,1
VIEX10929497876341,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,993068.0,0.0,0.0,10000.0,False,False,6660.0,1
UGLD83856749811741,32,26166.67,991351.0,1080709.0,1630735.0,420552.0,458500.0,566683.0,349448.0,3614970.0,1036746.0,2578224.0,88000.0,False,True,59400.0,0
BOFD57560697842377,0,0.0,761509000.0,463629000.0,1708498000.0,1111365.0,0.0,141828000.0,0.0,1778599000.0,968448000.0,810151000.0,1400000.0,False,False,950362.0,1
AMVK70950785139481,723,513580.14,14534249.0,12160819.0,22560504.0,10399685.0,7603324.0,7760018.0,5648647.0,58858056.0,26111638.0,32746418.0,99800.0,False,True,1178871.0,0
IOAQ47275065679827,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32135685.0,0.0,0.0,153000.0,False,False,534000.0,1
QMFJ76401680633874,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32135685.0,0.0,0.0,153000.0,False,False,534000.0,1
FLYN19501949345970,0,0.0,1136771.0,264506.0,1172209.0,-1493345.0,0.0,565601.0,120230.0,4438768.0,3180644.0,1258124.0,150000.0,True,False,0.0,2
LBPY51960161345431,0,0.0,130665846.0,86406690.0,135399753.0,46255410.0,19666531.0,55366186.0,57660931.0,225787476.0,53663587.0,172123889.0,19688456.0,False,False,14401061.0,1
ZOFR66358237758565,0,0.0,18741267.0,3439581.0,18944714.0,15437910.0,95500.0,11536624.0,4506584.0,22674756.0,8794817.0,13879939.0,20000.0,True,False,3960.0,2
REIL96350543414610,0,0.0,1512181.0,442499.0,1543520.0,778288.0,0.0,10350.0,1178341.0,5110563.0,2480916.0,2629647.0,500000.0,False,False,469245.0,1
VMSP90623665636415,0,0.0,12677811.0,3021394.0,15963769.0,10934450.0,0.0,807138.0,5150068.0,16058693.0,8377339.0,7681354.0,250000.0,False,False,2498614.0,1
HEUR15932934238852,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,502072686.0,True,False,72750.0,2
KYEC30750033896793,9,5913.34,6564671.0,5416543.0,10202753.0,4486210.0,3030000.0,4068423.0,708631.0,9153540.0,2597265.0,6556275.0,150000.0,False,True,221211.0,0
IGYR07692699924463,83,49782.66,9348890.0,4189577.0,10917722.0,6728145.0,0.0,3860007.0,3706962.0,23942754.0,10245532.0,13697222.0,90000.0,False,False,205200.0,1
SVIN40715352813470,165,362410.6,42532123.0,18107521.0,48535495.0,24934123.0,0.0,17267452.0,15305373.0,116830799.0,0.0,0.0,2000000.0,False,False,19892480.0,1
IJRV52317490367799,44,523457.15,28259986.0,29053976.0,30931967.0,10795877.0,1927000.0,12996399.0,6182517.0,76783102.0,30133640.0,46649462.0,700000.0,False,True,4007566.0,0
BYAS68069523153758,0,13081.5,5267364.0,492831.0,5267364.0,2692664.0,0.0,796482.0,338413.0,4348123.0,2597409.0,1750714.0,200000.0,False,False,513571.0,1
SRUW25934027505106,0,0.0,6344419.0,1507576.0,6569574.0,5061998.0,0.0,3472866.0,437609.0,16568953.0,4828726.0,11740227.0,330000.0,False,True,2633397.0,0
GVAF97929115081082,0,0.0,1295046.0,60261.0,1295046.0,1234785.0,0.0,546027.0,385000.0,3684693.0,0.0,0.0,150000.0,False,True,10800.0,0
YPBV53942632372249,26,15300.0,61861317.0,19387380.0,61861317.0,8112989.0,0.0,26209780.0,21673879.0,45981556.0,0.0,0.0,1500000.0,True,True,71200.0,3
MQVZ38576488144696,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134467897.0,36393847.0,98074050.0,100000.0,True,False,12900.0,2
RJON32922678866588,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,246805647.0,True,False,9641520.0,2
MXRY81483989898276,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5449348.0,0.0,0.0,100000.0,False,True,11400.0,0
EONK43525625393017,0,0.0,658605.0,6249.0,667091.0,660842.0,0.0,0.0,279451.0,1240577.0,126337.0,1114240.0,220000.0,False,True,44200.0,0
FIXX62185133473858,24,12924.0,2268396.0,625114.0,2268396.0,1643282.0,0.0,1188863.0,1053235.0,3421183.0,1848898.0,1572285.0,70000.0,False,True,19800.0,0
JQHS06697739764455,0,0.0,42971.0,7940.0,42971.0,42176.0,0.0,39205.0,0.0,0.0,0.0,0.0,200000.0,False,False,9600.0,1
VRCB88204998346058,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4144406.0,0.0,0.0,2050000.0,False,False,4320000.0,1
OZTX38549761490731,41,8746.33,248610.0,0.0,329730.0,201836.0,0.0,109666.0,126123.0,1509259.0,516249.0,993010.0,20000.0,False,False,2640.0,1
SPTN94594131186289,39,34849.01,6767995.0,3926535.0,6993382.0,2972924.0,0.0,1595011.0,4352404.0,17601477.0,6135514.0,11465963.0,550000.0,False,False,703975.0,1
JNPZ20918012512646,0,0.0,703646000.0,379103000.0,807769000.0,326041000.0,99870000.0,217016000.0,466835000.0,1414040000.0,440518000.0,973522000.0,342000000.0,False,False,73313440.0,1
PDVM42675544367770,0,0.0,2251308.0,179421.0,2253075.0,2073654.0,0.0,742196.0,488701.0,10906327.0,5476497.0,5429830.0,60000.0,False,False,720.0,1
LNGE93053337229755,63,32680.39,14283226.0,3451560.0,15229880.0,11778319.0,0.0,7860311.0,4989046.0,47530891.0,14780237.0,32750654.0,2000000.0,False,False,5177734.0,1
TQQT14305514508565,27,25200.0,73143450.0,34084781.0,75116005.0,34689397.0,15380000.0,22901611.0,14060449.0,181750105.0,58021435.0,123728670.0,3600000.0,False,False,10544952.0,1
HZWJ45728396363330,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,533787.0,0.0,0.0,500000.0,False,False,9720.0,1
BSOD26119656498206,0,0.0,134123658.0,54462811.0,186101629.0,86629182.0,33619253.0,33146761.0,39068831.0,129438771.0,84562606.0,44876165.0,6000000.0,True,False,7613567.0,2
DCYQ25190726049709,10,315.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1611494.0,0.0,0.0,250000.0,False,True,5280.0,0
YUIL40358798905357,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,627304.0,627304.0,0.0,500000.0,False,False,32400.0,1
KIGW18734382218725,0,0.0,96126.0,36761.0,151725.0,114963.0,0.0,0.0,94167.0,582205.0,0.0,0.0,70000.0,False,False,11840.0,1
POUO77525862894860,44,154383.77,36808079.0,10571377.0,41005114.0,22858760.0,0.0,12066323.0,11693423.0,46731685.0,13511954.0,33219731.0,1000000.0,True,False,5357573.0,2
LQDO72913720718187,8,3600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5451052.0,0.0,0.0,10000.0,False,False,13200.0,1
WLTF35363698916748,40,50760.6,6949140.0,1671074.0,7697664.0,6026590.0,33058.0,5088345.0,604735.0,11901644.0,5334132.0,6567512.0,1500000.0,False,False,762402.0,1
YBQC81831446535126,16,16172.0,1256490.0,627962.0,1256490.0,628527.0,0.0,102445.0,1112596.0,846640.0,0.0,0.0,98000.0,False,False,7560.0,1
